date,actual_open,actual_high,actual_low,actual_close,pred_open,pred_high,pred_low,pred_close
2022-06-07,3235.4159999999997,3253.093,3222.6354,3241.7635,3222.958,3259.242,3181.966,3223.8064
2022-06-08,3245.0172999999995,3266.6298,3216.0148,3263.7934,3244.0503,3280.636,3202.667,3244.8872
2022-06-09,3259.4898999999996,3270.5570999999995,3223.4751,3238.9543,3266.7346,3303.653,3224.9387,3267.568
2022-06-10,3214.1848,3286.6194999999993,3210.8083,3284.8341,3265.9526,3302.8247,3224.1357,3266.749
2022-06-13,3256.275,3272.9905999999996,3229.3088999999995,3255.5511,3279.5444,3316.6213,3237.4858,3280.3445
2022-06-14,3224.2140999999997,3289.1342999999997,3195.8192,3288.9066,3275.1301,3312.1177,3233.1274,3275.905
2022-06-15,3289.1036,3358.5453,3288.8512,3305.4066000000003,3283.218,3320.3337,3241.0774,3284.001
2022-06-16,3306.8353,3319.6890000000003,3277.5306,3285.3844999999997,3325.5005,3363.2854,3282.6394,3326.3293
2022-06-17,3265.5124,3323.2797000000005,3262.8936,3316.7857,3320.587,3358.2502,3277.7664,3321.3645
2022-06-20,3315.7833,3333.9025,3292.9279,3315.4302,3309.3357,3346.7993,3266.686,3310.0781
2022-06-21,3313.7873999999997,3329.39,3279.8269,3306.7186000000006,3308.2214,3345.665,3265.5894,3308.9614
2022-06-22,3309.1184000000003,3311.0209,3266.5427,3267.2015999999994,3306.1301,3343.5417,3263.5347,3306.869
2022-06-23,3269.0545,3320.1487,3262.2939000000006,3320.1487,3289.0908,3326.2314,3246.785,3289.8103
2022-06-24,3324.7359999999994,3356.7145,3322.9496,3349.747,3305.2634,3342.6787,3262.7002,3306.0198
2022-06-27,3364.003,3393.3091,3364.003,3379.1852000000003,3332.6858,3370.5269,3289.6482,3333.4639
2022-06-28,3377.6793,3412.1017,3358.8666,3409.2103,3370.4468,3408.862,3326.7424,3371.2412
2022-06-29,3399.6779,3414.6466999999993,3358.4676,3361.5176999999994,3401.4993,3440.366,3357.2263,3402.2854
2022-06-30,3358.9338,3417.0085000000004,3358.9338000000002,3398.6161,3403.6118,3442.469,3359.2595,3404.3542
2022-07-01,3400.2616,3404.0522999999994,3378.3621,3387.6372999999994,3401.132,3439.9282,3356.8005,3401.8494
