,Unnamed: 0,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2523,2523,2012-02-08,sh.000001,25.653700506793776,26.82679274207063,25.554681868166192,26.758671567689355,2291.902,8711452800,80885696801.0,3,0.004831,1,2.427151,0.0
2524,2524,2012-02-09,sh.000001,26.693108655752084,27.077621450534807,26.489062436477255,26.79950460933449,2347.53,9803232500,89658695587.0,3,0.005437,1,0.087713,0.0
2525,2525,2012-02-10,sh.000001,26.649221564367572,27.184037235609033,26.607059812770892,26.846941537753715,2349.589,9650161900,82222468070.0,3,0.005352,1,0.101799,0.0
2526,2526,2012-02-13,sh.000001,26.45177923186683,27.11185060540587,26.31242333888946,26.84444276978514,2351.981,8626358500,77715389643.0,3,0.004784,1,-0.005356,0.0
2527,2527,2012-02-14,sh.000001,26.78538458716288,26.85661930575897,26.45558687829513,26.70395648177437,2351.855,7313041300,66294933778.0,3,0.004055,1,-0.301208,0.0
2528,2528,2012-02-15,sh.000001,26.618363763104902,27.28920363669898,26.512185955932452,27.138880928748435,2344.771,9886102100,87632869277.0,3,0.00548,1,0.935311,0.0
2529,2529,2012-02-16,sh.000001,27.08325359421,27.279724183611854,26.65045111686004,26.943699386314492,2366.702,9505116900,83758449953.0,3,0.005269,1,-0.415844,0.0
2530,2530,2012-02-17,sh.000001,27.137453061337823,27.254101896188097,26.70373833536442,26.950065295186803,2356.86,7192483900,65121696783.0,3,0.003985,1,0.013611,0.0
2531,2531,2012-02-20,sh.000001,27.47569898571836,27.56143052483052,27.045871232140513,27.07730414666579,2357.181,8891158600,82306945828.0,3,0.004925,1,0.27219,0.0
2532,2532,2012-02-21,sh.000001,27.11478566619435,27.445158488324715,26.70954896246593,27.43095914018584,2363.597,7934866900,74538521268.0,3,0.004395,1,0.754486,0.0
2533,2533,2012-02-22,sh.000001,27.412595178766026,27.887321429810903,27.284206100761836,27.87036550430988,2381.43,11868426900,109092241265.0,3,0.006571,1,0.930407,0.0
2534,2534,2012-02-23,sh.000001,27.833697075945693,28.132498163108075,27.733984335104623,27.988700015964355,2403.587,11255359300,105469685126.0,3,0.006232,1,0.248256,0.0
2535,2535,2012-02-24,sh.000001,28.015016405601607,28.59203349142338,27.903821231000194,28.58511230078028,2409.554,13490324900,121550205544.0,3,0.00747,1,1.248114,0.0
2536,2536,2012-02-27,sh.000001,28.739361644109998,29.353523114099502,28.684289591342363,28.732440453466893,2439.628,15807324400,144685593339.0,3,0.008752,1,0.304512,0.0
2537,2537,2012-02-28,sh.000001,28.61061559925316,28.96236676955906,28.430426664630637,28.827631614174365,2447.057,11836199300,107000289102.0,3,0.006557,1,0.196156,0.0
2538,2538,2012-02-29,sh.000001,28.716000146753046,28.851627719269374,28.32137329114515,28.36416965047988,2451.857,9553695200,91908381829.0,3,0.005291,1,-0.95315,0.0
2539,2539,2012-03-01,sh.000001,28.17182401137535,28.550327864138417,28.162820514091763,28.31712935189693,2428.487,7508328900,71067886558.0,3,0.004157,1,-0.097677,0.0
2540,2540,2012-03-02,sh.000001,28.396118183792318,29.011350554339778,28.396118183792318,29.002862675843367,2426.115,10322837800,96453866915.0,3,0.005715,1,1.425247,0.0
2541,2541,2012-03-05,sh.000001,29.085282355822585,29.184281162958342,28.634433220921828,28.691686737789013,2460.693,11269332600,107604373438.0,3,0.006238,1,-0.637672,0.0
2542,2542,2012-03-06,sh.000001,28.5881068560442,28.632172430855036,27.919329457598785,28.006369875170684,2445.002,10370901200,100674335990.0,3,0.005739,1,-1.413368,0.0
2543,2543,2012-03-07,sh.000001,27.624772309684616,28.070822223566367,27.571544585655687,27.695987196788884,2410.445,9479063600,91730684728.0,3,0.005245,1,-0.649304,0.0
2544,2544,2012-03-08,sh.000001,27.82108424715195,28.32869111162453,27.82108424715195,28.201333271194663,2394.794,9678213400,93410826914.0,3,0.005348,1,1.064055,0.0
2545,2545,2012-03-09,sh.000001,28.312568108779708,28.602623508052083,28.096028049662024,28.581820273139144,2420.276,10062405500,100411480219.0,3,0.00556,1,0.792721,0.0
2546,2546,2012-03-12,sh.000001,28.563654626637465,28.60948520421975,28.212518232577793,28.49053591631904,2439.462,10622305900,108158111406.0,3,0.005868,1,-0.18869,0.0
2547,2547,2012-03-13,sh.000001,28.450555628821903,28.93398790477314,28.366589092481192,28.90572802893812,2434.859,10464971200,102576931855.0,3,0.00578,1,0.859846,0.0
2548,2548,2012-03-14,sh.000001,29.08659123428231,29.310706923272953,27.458842217676406,27.625307759963597,2455.795,17978602900,170736655188.0,3,0.00993,1,-2.629085,0.0
2549,2549,2012-03-15,sh.000001,27.562501425388483,27.87343938554107,27.1254351772985,27.27912923885743,2391.23,12002549900,112260876485.0,3,0.006629,1,-0.730003,0.0
2550,2550,2012-03-16,sh.000001,27.358118070752816,27.921153954845686,27.170789799077248,27.893151888404233,2373.774,10367562200,102406003302.0,3,0.005725,1,1.304343,0.0
2551,2551,2012-03-19,sh.000001,27.82336486871057,28.043871226191058,27.475461007816584,28.001193855807216,2404.736,10215349000,102981667540.0,3,0.005641,1,0.226553,0.0
2552,2552,2012-03-20,sh.000001,27.948799054434474,27.948799054434474,27.323888915881753,27.339912761267513,2410.184,9790393500,94620915242.0,3,0.005407,1,-1.383503,0.0
2553,2553,2012-03-21,sh.000001,27.49598660184413,27.73422231300639,27.03020435360741,27.366804264167378,2376.839,9568653800,94949639342.0,3,0.005285,1,0.057049,0.0
2554,2554,2012-03-22,sh.000001,27.34292714802325,27.523552375465677,27.08787433180268,27.318752559501917,2378.195,7934888000,76900869341.0,3,0.004383,1,-0.101888,0.0
2555,2555,2012-03-23,sh.000001,27.185980721806814,27.229332362912338,26.651383196975303,26.79851303474379,2375.772,7686213900,74138712972.0,3,0.004243,1,-1.104185,0.0
2556,2556,2012-03-26,sh.000001,26.789529368952017,26.966227961015257,26.59230518286123,26.819534416066688,2349.539,5542773300,54051832906.0,3,0.00306,1,0.045118,0.0
2557,2557,2012-03-27,sh.000001,26.977115450021174,27.080655668782363,26.694695175097202,26.751710714062618,2350.599,6088111600,65159971554.0,3,0.003359,1,-0.145502,0.0
2558,2558,2012-03-28,sh.000001,26.629231420619007,26.637501152705468,25.44786945325569,25.516248437030555,2347.179,8364528300,78231139045.0,3,0.004614,1,-2.654159,0.0
2559,2559,2012-03-29,sh.000001,25.35480026217232,25.43844949464402,24.672696101227864,24.867342193382825,2284.881,7424808400,68018095501.0,3,0.004096,1,-1.432074,0.0
2560,2560,2012-03-30,sh.000001,24.944328044604994,25.145934990386692,24.75003891930269,25.078111288382615,2252.16,6202414700,55962029859.0,3,0.003421,1,0.47191,0.0
2561,2561,2012-04-05,sh.000001,24.98377288182315,25.891916386464217,24.852131439161447,25.860523134922566,2262.788,8010145600,74602339783.0,3,0.004417,1,1.743552,0.0
2562,2562,2012-04-06,sh.000001,25.797340002002983,26.007256342854767,25.648683139364827,25.946036527624777,2302.241,7213652100,68863352285.0,3,0.003978,1,0.187296,0.0
2563,2563,2012-04-09,sh.000001,25.817092167849786,25.908297198702627,25.507542412124188,25.534017453695952,2306.553,5976063900,55129724461.0,3,0.003293,1,-0.900733,0.0
2564,2564,2012-04-10,sh.000001,25.439758373103743,25.942744499983647,25.00007436809431,25.932352798273072,2285.777,6734552600,63133960653.0,3,0.00371,1,0.878736,0.0
2565,2565,2012-04-11,sh.000001,25.55263922450935,26.193930175300473,25.42014502769964,25.99307682620772,2305.863,7513007000,67516502992.0,3,0.004138,1,0.132792,0.0
2566,2566,2012-04-12,sh.000001,26.023994121945826,26.828577576333892,25.97157948908128,26.824789761397412,2308.925,9768789500,87315827000.0,3,0.00538,1,1.816385,0.0
2567,2567,2012-04-13,sh.000001,26.837660399584735,27.19835557269878,26.747050313486312,26.989331648978634,2350.864,9877441400,92321434038.0,3,0.00544,1,0.352929,0.0
2568,2568,2012-04-16,sh.000001,26.73441765320075,27.087497533458205,26.652949884828615,26.946991413955622,2359.161,8532268200,73752833490.0,3,0.004695,1,-0.090499,0.0
2569,2569,2012-04-17,sh.000001,26.914130632019734,27.065722555446378,26.477282530339707,26.50988550288202,2357.026,8468844500,72470714424.0,3,0.004659,1,-0.935109,0.0
2570,2570,2012-04-18,sh.000001,26.631849177538463,27.47478673709491,26.566841547371986,27.419417211950062,2334.985,10861254400,93123038358.0,3,0.005975,1,1.964158,0.0
2571,2571,2012-04-19,sh.000001,27.37547062609012,27.54098425677023,27.19355635167978,27.375510289073745,2380.848,9427242100,89960919583.0,3,0.005185,1,-0.092986,0.0
