,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2575,2003-03-06,sh.000001,1516.6010,1517.3480,1494.2410,1498.3430,1517.1790,845438400,7179470287.0000,3,0.008425,1,-1.241511,0
2576,2003-03-07,sh.000001,1495.6940,1502.4280,1489.3840,1493.0930,1498.3430,705580400,5819913722.0000,3,0.007029,1,-0.350387,0
2577,2003-03-10,sh.000001,1492.2090,1496.1640,1467.6390,1468.9190,1493.0930,747047200,6220774432.0000,3,0.007442,1,-1.619060,0
2578,2003-03-11,sh.000001,1467.5510,1473.9550,1463.5840,1469.5480,1468.9190,515564600,4598943682.0000,3,0.005134,1,0.042823,0
2579,2003-03-12,sh.000001,1468.7470,1475.2870,1458.5000,1475.0080,1469.5480,529337300,4574538832.0000,3,0.005271,1,0.371549,0
2580,2003-03-13,sh.000001,1475.0370,1477.8580,1463.3300,1464.6490,1475.0080,532861600,4667211703.0000,3,0.005306,1,-0.702302,0
2581,2003-03-14,sh.000001,1464.9920,1471.4990,1461.3510,1466.0440,1464.6490,495930100,4276278167.0000,3,0.004938,1,0.095238,0
2582,2003-03-17,sh.000001,1465.1440,1469.5330,1453.3680,1469.2740,1466.0440,632370300,5114043340.0000,3,0.006297,1,0.220328,0
2583,2003-03-18,sh.000001,1468.9860,1478.9950,1458.9790,1459.8920,1469.2740,597670900,5163435846.0000,3,0.005951,1,-0.638552,0
2584,2003-03-19,sh.000001,1458.5820,1475.8440,1452.5920,1469.9600,1459.8920,662217700,5647205271.0000,3,0.006593,1,0.689640,0
2585,2003-03-20,sh.000001,1469.6630,1477.2530,1460.7990,1464.5400,1469.9600,675681400,5679245072.0000,3,0.006727,1,-0.368712,0
2586,2003-03-21,sh.000001,1464.1840,1475.8090,1461.9150,1474.6570,1464.5400,534064500,4860613083.0000,3,0.005317,1,0.690793,0
2587,2003-03-24,sh.000001,1474.5910,1477.9740,1470.4350,1477.7660,1474.6570,472705400,4334155289.0000,3,0.004706,1,0.210829,0
2588,2003-03-25,sh.000001,1478.0530,1478.4050,1461.7540,1462.4000,1477.7660,572231300,4974811847.0000,3,0.005691,1,-1.039811,0
2589,2003-03-26,sh.000001,1461.3210,1465.4250,1452.8910,1456.2710,1462.4000,558287800,4953536123.0000,3,0.005552,1,-0.419108,0
2590,2003-03-27,sh.000001,1455.4390,1507.6680,1447.0140,1499.3470,1456.2710,1349538100,10967467874.0000,3,0.013422,1,2.957969,0
2591,2003-03-28,sh.000001,1498.4550,1508.2630,1488.6010,1491.9410,1499.3470,1316515300,11082297409.0000,3,0.013088,1,-0.493949,0
2592,2003-03-31,sh.000001,1491.3910,1511.2200,1490.9860,1510.5780,1491.9410,1050938500,8913051962.0000,3,0.010446,1,1.249176,0
2593,2003-04-01,sh.000001,1513.0010,1525.2350,1508.8440,1522.5460,1510.5780,1333173800,11606546833.0000,3,0.013248,1,0.792281,0
2594,2003-04-02,sh.000001,1522.4910,1525.7690,1516.7880,1521.3200,1522.5460,979096900,7778498412.0000,3,0.009729,1,-0.080528,0
2595,2003-04-03,sh.000001,1521.3560,1522.6710,1510.5120,1511.7290,1521.3200,829964100,7148891672.0000,3,0.008247,1,-0.630436,0
2596,2003-04-04,sh.000001,1510.2220,1521.7830,1509.6100,1521.1280,1511.7290,905401800,7626323359.0000,3,0.008995,1,0.621742,0
2597,2003-04-07,sh.000001,1521.8980,1530.3710,1512.5000,1515.1320,1521.1280,1186576700,9653115369.0000,3,0.011785,1,-0.394187,0
2598,2003-04-08,sh.000001,1515.6450,1523.9470,1513.2350,1520.5510,1515.1320,1494193000,11294889003.0000,3,0.014830,1,0.357663,0
2599,2003-04-09,sh.000001,1519.9850,1545.3360,1510.3440,1543.6740,1520.5510,2884447900,18579366397.0000,3,0.028145,1,1.520694,0
2600,2003-04-10,sh.000001,1546.5070,1559.8690,1541.2890,1551.1800,1543.6740,3211716300,24850131382.0000,3,0.031208,1,0.486249,0
2601,2003-04-11,sh.000001,1552.0040,1581.6990,1548.5290,1576.8600,1551.1800,2942231300,22233282985.0000,3,0.028589,1,1.655509,0
2602,2003-04-14,sh.000001,1581.3800,1616.6540,1581.2040,1616.0720,1576.8600,3657239900,29704321366.0000,3,0.035475,1,2.486717,0
2603,2003-04-15,sh.000001,1619.9500,1632.0920,1606.7260,1631.4700,1616.0720,3211677100,27446242358.0000,3,0.031105,1,0.952801,0
2604,2003-04-16,sh.000001,1633.5300,1649.6030,1598.8280,1606.2400,1631.4700,3909912700,33015484375.0000,3,0.037867,1,-1.546457,0
2605,2003-04-17,sh.000001,1606.2330,1621.2290,1595.6270,1613.6040,1606.2400,2840057500,22997551977.0000,3,0.027481,1,0.458463,0
